timestamp,fidelity,JCT
2026-07-08T11:39:37.962250+00:00,0.7538956192005621,53.51057076613514
2026-07-08T11:40:13.962250+00:00,0.7405744759355969,729.2028929706148
2026-07-08T11:40:49.962250+00:00,0.7424775131464628,2893.701598314842
2026-07-08T11:41:25.962250+00:00,0.7309177239931679,5052.299600161138
2026-07-08T11:42:01.962250+00:00,0.7407559749267558,8732.020874854908
2026-07-08T11:42:37.962250+00:00,0.7486654483171309,13739.072962230402
2026-07-08T11:43:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:43:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:44:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:45:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:45:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:46:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:46:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:47:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:48:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:48:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:49:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:49:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:50:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:51:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:51:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:52:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:52:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:53:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:54:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:54:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:55:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:55:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:56:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:57:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:57:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:58:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:58:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T11:59:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:00:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:00:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:01:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:01:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:02:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:03:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:03:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:04:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:04:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:05:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:06:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:06:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:07:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:07:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:08:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:09:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:09:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:10:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:10:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:11:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:12:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:12:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:13:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:13:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:14:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:15:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:15:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:16:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:16:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:17:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:18:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:18:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:19:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:19:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:20:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:21:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:21:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:22:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:22:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:23:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:24:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:24:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:25:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:25:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:26:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:27:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:27:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:28:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:28:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:29:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:30:01.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:30:37.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:31:13.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:31:49.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:32:25.962250+00:00,0.7457417257844476,15161.959534128326
2026-07-08T12:33:01.962250+00:00,0.7457417257844476,15161.959534128326
